"date","close","volume","open","high","low"
"2012/07/13","124.1800","480625.0000","122.4800","124.3000","122.4800"
"2012/07/12","122.1000","432700.0000","122.0400","122.6800","121.3200"
"2012/07/11","122.7400","199667.0000","122.7800","123.0930","122.0600"
"2012/07/10","122.7200","322264.0000","124.4600","124.6000","122.3200"
"2012/07/09","123.8600","177776.0000","123.9400","124.0200","123.2674"
"2012/07/06","124.0200","478330.0000","123.9800","124.2000","123.3680"
"2012/07/05","125.1800","308898.0000","125.3400","125.7000","124.7200"
"2012/07/03","125.7200","161030.0000","124.9000","125.8000","124.7680"
"2012/07/02","124.9000","258689.0000","124.9000","125.0160","124.0340"
"2012/06/29","124.5600","304978.0000","123.7200","124.6200","123.3800"
"2012/06/28","121.5400","171737.0000","121.0400","121.6400","120.1400"
"2012/06/27","121.8200","301079.0000","121.1600","122.0600","121.1000"
"2012/06/26","120.7400","352740.0000","120.4800","121.0980","119.8200"
"2012/06/25","120.1600","283190.0000","120.8400","120.8600","119.7200"
"2012/06/22","122.7400","285794.0000","122.4800","122.9600","122.0000"
"2012/06/21","121.8600","155390.0000","124.7800","124.8200","121.7200"
"2012/06/20","124.6000","235177.0000","124.8400","125.1800","123.7000"
"2012/06/19","124.8000","175165.0000","124.2000","125.3000","124.1400"
"2012/06/18","123.5400","482462.0000","122.8800","123.8920","122.5806"
"2012/06/15","123.2800","229211.0000","122.6200","123.4400","122.4200"
"2012/06/14","122.2000","2181321.0000","121.0800","122.6000","120.8420"
"2012/06/13","120.8600","144866.0000","121.2400","121.9400","120.4200"
"2012/06/12","121.6600","168286.0000","120.5800","121.6600","120.0000"
"2012/06/11","120.2600","304598.0000","122.8000","122.8400","120.1200"
"2012/06/08","121.7400","219528.0000","120.6000","121.8000","120.1014"
"2012/06/07","120.7400","200997.0000","122.1200","122.1600","120.5800"
"2012/06/06","120.7600","254634.0000","118.9200","120.7800","118.8600"
"2012/06/05","117.9400","252306.0000","116.9600","118.2200","116.8910"
"2012/06/04","117.2600","213486.0000","117.4400","117.7600","116.3430"
"2012/06/01","117.3000","641907.0000","118.3400","118.7560","117.2400"
"2012/05/31","120.2400","424141.0000","120.5400","121.1400","119.2600"
"2012/05/30","120.5400","809491.0000","121.3000","121.3400","120.3000"
"2012/05/29","122.3000","306599.0000","121.8800","122.5340","121.4600"
"2012/05/25","120.9200","336356.0000","121.2200","121.5000","120.6200"
"2012/05/24","121.2000","112021.0000","121.3800","121.5000","120.2294"
"2012/05/23","120.9800","176023.0000","120.1000","121.1400","118.9280"
"2012/05/22","120.9800","654408.0000","121.0800","121.8800","120.1800"
"2012/05/21","120.7200","271543.0000","119.0400","120.7800","118.9000"
"2012/05/18","118.7200","760336.0000","120.1600","120.4000","118.5532"
"2012/05/17","119.6600","288661.0000","121.5800","121.6800","119.6600"
"2012/05/16","121.5000","331323.0000","122.5200","123.0200","121.5000"
"2012/05/15","122.0200","1532479.0000","122.5800","123.3200","121.8200"
"2012/05/14","122.7000","953206.0000","122.8600","123.5400","122.5400"
"2012/05/11","124.0200","365266.0000","123.7000","125.2000","123.6344"
"2012/05/10","124.4200","130069.0000","125.1400","125.1800","124.2400"
"2012/05/09","124.2000","373710.0000","123.6000","124.9800","123.0402"
"2012/05/08","124.9000","403029.0000","124.7000","125.1200","123.4800"
"2012/05/07","125.4400","990314.0000","124.9000","125.8600","124.8600"
"2012/05/04","125.3400","364701.0000","126.7600","126.8400","125.3000"
"2012/05/03","127.4200","176991.0000","128.4600","128.5000","127.2000"
"2012/05/02","128.3600","154228.0000","128.0600","128.5200","127.6200"
"2012/05/01","128.7600","527538.0000","127.9600","129.6000","127.8000"
"2012/04/30","127.9200","247574.0000","128.2200","128.2640","127.6400"
"2012/04/27","128.4800","175346.0000","128.6600","128.8200","127.9400"
"2012/04/26","128.2200","157068.0000","127.1200","128.3838","127.0000"
"2012/04/25","127.3400","171750.0000","126.8400","127.3800","126.7600"
"2012/04/24","125.5800","469284.0000","125.2400","125.9200","125.2000"
"2012/04/23","125.1200","324939.0000","124.9400","125.2600","124.4000"
"2012/04/20","126.2000","112078.0000","126.5800","126.9800","126.1600"
"2012/04/19","126.0000","831186.0000","126.8600","127.3000","125.4400"
"2012/04/18","126.8200","420726.0000","126.7200","127.2480","126.6002"
"2012/04/17","127.2600","497450.0000","126.1600","127.5200","126.0800"
"2012/04/16","125.3400","826826.0000","126.1600","126.3000","124.9400"
"2012/04/13","125.4800","2416813.0000","126.7000","126.7000","125.3600"
"2012/04/12","127.0000","105513.0000","125.4200","127.0600","125.4000"
"2012/04/11","125.2800","172790.0000","125.6600","125.8260","125.1400"
"2012/04/10","124.2600","392606.0000","126.2200","126.5600","124.2200"
"2012/04/09","126.4600","474808.0000","126.3000","126.9700","126.1400"
"2012/04/05","127.8800","722305.0000","127.5200","128.2800","127.4000"
"2012/04/04","127.9200","382986.0000","128.2600","128.3860","127.5400"
"2012/04/03","129.2800","333802.0000","129.5400","129.8200","128.5000"
"2012/04/02","129.7800","374565.0000","128.7400","130.1200","128.4800"
"2012/03/30","128.7400","270742.0000","128.9200","129.0400","128.2400"
"2012/03/29","128.3200","2612018.0000","127.7800","128.4600","127.2600"
"2012/03/28","128.5400","201333.0000","129.1200","129.2800","127.8000"
"2012/03/27","129.1600","573532.0000","129.7000","129.7800","129.1000"
"2012/03/26","129.5200","202993.0000","128.6800","129.5200","128.6600"
"2012/03/23","128.3600","111920.0000","128.0600","128.4400","127.3200"
"2012/03/22","127.8600","633154.0000","127.9000","128.2400","127.5400"
"2012/03/21","128.8600","162084.0000","129.1000","129.2400","128.6000"
"2012/03/20","129.0600","1310751.0000","128.7200","129.2000","128.3600"
"2012/03/19","129.4200","143486.0000","128.8800","129.8398","128.7600"
"2012/03/16","128.8800","272232.0000","129.0200","129.1000","128.6942"
"2012/03/15","128.7000","501504.0000","128.2200","128.8000","127.8800"
"2012/03/14","128.0400","709917.0000","128.2000","128.4600","127.6400"
"2012/03/13","128.1400","192072.0000","126.5800","128.1800","126.3600"
"2012/03/12","125.8800","174651.0000","125.8600","126.0160","125.4200"
"2012/03/09","125.8200","152939.0000","125.6200","126.1400","125.4780"
"2012/03/08","125.3400","253596.0000","124.9200","125.6000","124.6400"
